date,mean temperature (degC),State
1/1/2008,28.69230769,SA
2/1/2008,25.53846154,SA
3/1/2008,25.46923077,SA
4/1/2008,28.15384615,SA
5/1/2008,29.74166667,SA
6/1/2008,25.60833333,SA
7/1/2008,23.70833333,SA
8/1/2008,24.55,SA
9/1/2008,26.80769231,SA
10/1/2008,30.56923077,SA
11/1/2008,26.46923077,SA
12/1/2008,21.88461538,SA
13/1/2008,22.18461538,SA
14/1/2008,21.76153846,SA
15/1/2008,24.80769231,SA
16/1/2008,23.54615385,SA
17/1/2008,22.26923077,SA
18/1/2008,23.53076923,SA
19/1/2008,25.13846154,SA
20/1/2008,24.30769231,SA
21/1/2008,22.60769231,SA
22/1/2008,23.75,SA
23/1/2008,24.70833333,SA
24/1/2008,24.45384615,SA
25/1/2008,26.06153846,SA
26/1/2008,26.16923077,SA
27/1/2008,23.3,SA
28/1/2008,23.97692308,SA
29/1/2008,26.2,SA
30/1/2008,27.68461538,SA
31/1/2008,25.23076923,SA
1/2/2008,24.57692308,SA
2/2/2008,24.61538462,SA
3/2/2008,25.14615385,SA
4/2/2008,25.56153846,SA
5/2/2008,22.93846154,SA
6/2/2008,20.56153846,SA
7/2/2008,19.93076923,SA
8/2/2008,19.36923077,SA
9/2/2008,18.86153846,SA
10/2/2008,19.16153846,SA
11/2/2008,20.78461538,SA
12/2/2008,21.45384615,SA
13/2/2008,20.72307692,SA
14/2/2008,22.16153846,SA
15/2/2008,24.19230769,SA
16/2/2008,27.53076923,SA
17/2/2008,28.82307692,SA
18/2/2008,29.67692308,SA
19/2/2008,30.80769231,SA
20/2/2008,22.87692308,SA
21/2/2008,24.26666667,SA
22/2/2008,21.21666667,SA
23/2/2008,18.63076923,SA
24/2/2008,19.26153846,SA
25/2/2008,20.33076923,SA
26/2/2008,21.34615385,SA
27/2/2008,20.64615385,SA
28/2/2008,19.13846154,SA
29/2/2008,18.33846154,SA
1/3/2008,19.95384615,SA
2/3/2008,23.06666667,SA
3/3/2008,25.325,SA
4/3/2008,26.53846154,SA
5/3/2008,27.62307692,SA
6/3/2008,27.15384615,SA
7/3/2008,27.19230769,SA
8/3/2008,28.66923077,SA
9/3/2008,30.05833333,SA
10/3/2008,28.59166667,SA
11/3/2008,27.525,SA
12/3/2008,27.48333333,SA
13/3/2008,29.75833333,SA
14/3/2008,29.81666667,SA
15/3/2008,27.97692308,SA
16/3/2008,29.47692308,SA
17/3/2008,30.85384615,SA
18/3/2008,24.35384615,SA
19/3/2008,22.66923077,SA
20/3/2008,21.12307692,SA
21/3/2008,18.43846154,SA
22/3/2008,19.16923077,SA
23/3/2008,19.82307692,SA
24/3/2008,20.63333333,SA
25/3/2008,19.54166667,SA
26/3/2008,17.31666667,SA
27/3/2008,14.40769231,SA
28/3/2008,14.79166667,SA
29/3/2008,16.04166667,SA
30/3/2008,16.54166667,SA
31/3/2008,17.50833333,SA
1/4/2008,19.98181818,SA
2/4/2008,18.775,SA
3/4/2008,14.58333333,SA
4/4/2008,15.80769231,SA
5/4/2008,17.75833333,SA
6/4/2008,20.70833333,SA
7/4/2008,21.83333333,SA
8/4/2008,22.04166667,SA
9/4/2008,23.125,SA
10/4/2008,20.95,SA
11/4/2008,20.2,SA
12/4/2008,16.94166667,SA
13/4/2008,16.13333333,SA
14/4/2008,15.54166667,SA
15/4/2008,16.26666667,SA
16/4/2008,16.9,SA
17/4/2008,17.33333333,SA
18/4/2008,17.63333333,SA
19/4/2008,19,SA
20/4/2008,20.65,SA
21/4/2008,20.53333333,SA
22/4/2008,19.83333333,SA
23/4/2008,19.17272727,SA
24/4/2008,19.74166667,SA
25/4/2008,18.22307692,SA
26/4/2008,15.35384615,SA
27/4/2008,12.65384615,SA
28/4/2008,12.69230769,SA
29/4/2008,14.45384615,SA
30/4/2008,16.65384615,SA
1/5/2008,17.28461538,SA
2/5/2008,15.59230769,SA
3/5/2008,16.11666667,SA
4/5/2008,17.475,SA
5/5/2008,17.36666667,SA
6/5/2008,16.59230769,SA
7/5/2008,16.46923077,SA
8/5/2008,15.76153846,SA
9/5/2008,15.38461538,SA
10/5/2008,14.92307692,SA
11/5/2008,15.15384615,SA
12/5/2008,15.33076923,SA
13/5/2008,15.47692308,SA
14/5/2008,16.53846154,SA
15/5/2008,15.74166667,SA
16/5/2008,13.86666667,SA
17/5/2008,12.11818182,SA
18/5/2008,14.5,SA
19/5/2008,15.7,SA
20/5/2008,15.03076923,SA
21/5/2008,14.15833333,SA
22/5/2008,14.2,SA
23/5/2008,13.88461538,SA
24/5/2008,14.74615385,SA
25/5/2008,16.28461538,SA
26/5/2008,15.56923077,SA
27/5/2008,13.83846154,SA
28/5/2008,12.71538462,SA
29/5/2008,14.3,SA
30/5/2008,15.46153846,SA
31/5/2008,14.64615385,SA
1/6/2008,13.82307692,SA
2/6/2008,13.87692308,SA
3/6/2008,13.86153846,SA
4/6/2008,13.59230769,SA
5/6/2008,13.72307692,SA
6/6/2008,13.51538462,SA
7/6/2008,13.16666667,SA
8/6/2008,12.43076923,SA
9/6/2008,13.2,SA
10/6/2008,14.19230769,SA
11/6/2008,14.65384615,SA
12/6/2008,14.38461538,SA
13/6/2008,12.44615385,SA
14/6/2008,11.55384615,SA
15/6/2008,11.05384615,SA
16/6/2008,11.28461538,SA
17/6/2008,12.68461538,SA
18/6/2008,12.93846154,SA
19/6/2008,11.95384615,SA
20/6/2008,11.17692308,SA
21/6/2008,12.45833333,SA
22/6/2008,12.03333333,SA
23/6/2008,11.63846154,SA
24/6/2008,11.95384615,SA
25/6/2008,12.45384615,SA
26/6/2008,12.66153846,SA
27/6/2008,11.93076923,SA
28/6/2008,13.18333333,SA
29/6/2008,15.03333333,SA
30/6/2008,13.05384615,SA
1/7/2008,12.66923077,SA
2/7/2008,13.35384615,SA
3/7/2008,12.42307692,SA
4/7/2008,12.16923077,SA
5/7/2008,13.18333333,SA
6/7/2008,13.15,SA
7/7/2008,10.26153846,SA
8/7/2008,9.883333333,SA
9/7/2008,10.90769231,SA
10/7/2008,11.11538462,SA
11/7/2008,10.78461538,SA
12/7/2008,12.90769231,SA
13/7/2008,12.86666667,SA
14/7/2008,12.16666667,SA
15/7/2008,10.81666667,SA
16/7/2008,11.23333333,SA
17/7/2008,12.27692308,SA
18/7/2008,11.59166667,SA
19/7/2008,13.47692308,SA
20/7/2008,11.25384615,SA
21/7/2008,11.77692308,SA
22/7/2008,10.20769231,SA
23/7/2008,8.492307692,SA
24/7/2008,8.492307692,SA
25/7/2008,10.04615385,SA
26/7/2008,10.24615385,SA
27/7/2008,9.623076923,SA
28/7/2008,9.038461538,SA
29/7/2008,11.13076923,SA
30/7/2008,12.81538462,SA
31/7/2008,14.69230769,SA
1/8/2008,13.36666667,SA
2/8/2008,11.5,SA
3/8/2008,12.83076923,SA
4/8/2008,12.39230769,SA
5/8/2008,11.63846154,SA
6/8/2008,10.71538462,SA
7/8/2008,9.107692308,SA
8/8/2008,9.976923077,SA
9/8/2008,9.269230769,SA
10/8/2008,8.815384615,SA
11/8/2008,8.453846154,SA
12/8/2008,10.11538462,SA
13/8/2008,9.233333333,SA
14/8/2008,8.990909091,SA
15/8/2008,10.025,SA
16/8/2008,10.61666667,SA
17/8/2008,11.05833333,SA
18/8/2008,10.25384615,SA
19/8/2008,10.79230769,SA
20/8/2008,12.29230769,SA
21/8/2008,10.87692308,SA
22/8/2008,8.661538462,SA
23/8/2008,8.769230769,SA
24/8/2008,9.946153846,SA
25/8/2008,11.62307692,SA
26/8/2008,11.66666667,SA
27/8/2008,11.50833333,SA
28/8/2008,12.76666667,SA
29/8/2008,14.94166667,SA
30/8/2008,14.975,SA
31/8/2008,12.55,SA
1/9/2008,12.30833333,SA
2/9/2008,12.82307692,SA
3/9/2008,12.46153846,SA
4/9/2008,12.54615385,SA
5/9/2008,13.45833333,SA
6/9/2008,14.04166667,SA
7/9/2008,14.43333333,SA
8/9/2008,14.11666667,SA
9/9/2008,14.29166667,SA
10/9/2008,16.86923077,SA
11/9/2008,18.78461538,SA
12/9/2008,17.39090909,SA
13/9/2008,20.07272727,SA
14/9/2008,14.93636364,SA
15/9/2008,14.63636364,SA
16/9/2008,12.43636364,SA
17/9/2008,15.13636364,SA
18/9/2008,19.99090909,SA
19/9/2008,18.81818182,SA
20/9/2008,16.575,SA
21/9/2008,18.18333333,SA
22/9/2008,16.20909091,SA
23/9/2008,12.9,SA
24/9/2008,13.925,SA
25/9/2008,16.66666667,SA
26/9/2008,20.22307692,SA
27/9/2008,22.1,SA
28/9/2008,17.00769231,SA
29/9/2008,15.48461538,SA
30/9/2008,17.23076923,SA
1/10/2008,21.88333333,SA
2/10/2008,20.70909091,SA
3/10/2008,20.16666667,SA
4/10/2008,15.95384615,SA
5/10/2008,16.16153846,SA
6/10/2008,15.025,SA
7/10/2008,13.82727273,SA
8/10/2008,14.21538462,SA
9/10/2008,15.23076923,SA
10/10/2008,17.30769231,SA
11/10/2008,19.53076923,SA
12/10/2008,22.43076923,SA
13/10/2008,17.76153846,SA
14/10/2008,15.41538462,SA
15/10/2008,15.81538462,SA
16/10/2008,18.53846154,SA
17/10/2008,21.51666667,SA
18/10/2008,24.525,SA
19/10/2008,20.56923077,SA
20/10/2008,18.41666667,SA
21/10/2008,17.64615385,SA
22/10/2008,17.54615385,SA
23/10/2008,19.8,SA
24/10/2008,23.80833333,SA
25/10/2008,27.03333333,SA
26/10/2008,21.03076923,SA
27/10/2008,18.46923077,SA
28/10/2008,19.67692308,SA
29/10/2008,22.53846154,SA
30/10/2008,24.07692308,SA
31/10/2008,19.10769231,SA
1/11/2008,19.31538462,SA
2/11/2008,20.13076923,SA
3/11/2008,18.21538462,SA
4/11/2008,19.65384615,SA
5/11/2008,20.18461538,SA
6/11/2008,23.05384615,SA
7/11/2008,20.07692308,SA
8/11/2008,16.26153846,SA
9/11/2008,18,SA
10/11/2008,20.63846154,SA
11/11/2008,24.49230769,SA
12/11/2008,27.725,SA
13/11/2008,24.51666667,SA
14/11/2008,18.94615385,SA
15/11/2008,17.33846154,SA
16/11/2008,17.76153846,SA
17/11/2008,18.43846154,SA
18/11/2008,18.7,SA
19/11/2008,19.23846154,SA
20/11/2008,18.42307692,SA
21/11/2008,17.24166667,SA
22/11/2008,15.53333333,SA
23/11/2008,16.89230769,SA
24/11/2008,20.93846154,SA
25/11/2008,23.24166667,SA
26/11/2008,23.98181818,SA
27/11/2008,23.175,SA
28/11/2008,19.51538462,SA
29/11/2008,17.95384615,SA
30/11/2008,19.56923077,SA
1/12/2008,19.90769231,SA
2/12/2008,20.43076923,SA
3/12/2008,20.96153846,SA
4/12/2008,22.17692308,SA
5/12/2008,21.82307692,SA
6/12/2008,20.21538462,SA
7/12/2008,18.37692308,SA
8/12/2008,20.87692308,SA
9/12/2008,23.37692308,SA
10/12/2008,22.8,SA
11/12/2008,21.55384615,SA
12/12/2008,19.94615385,SA
13/12/2008,17.4,SA
14/12/2008,17.13846154,SA
15/12/2008,18.06923077,SA
16/12/2008,21.56153846,SA
17/12/2008,23.86666667,SA
18/12/2008,21.5,SA
19/12/2008,19.38461538,SA
20/12/2008,22.59230769,SA
21/12/2008,26.63846154,SA
22/12/2008,23.88461538,SA
23/12/2008,21.99230769,SA
24/12/2008,22.66153846,SA
25/12/2008,23.54615385,SA
26/12/2008,24.73076923,SA
27/12/2008,23.61666667,SA
28/12/2008,22.24615385,SA
29/12/2008,21.03076923,SA
30/12/2008,20.92307692,SA
31/12/2008,21.4,SA
1/1/2009,21.61538462,SA
2/1/2009,19.71538462,SA
3/1/2009,21.43076923,SA
4/1/2009,23.36153846,SA
5/1/2009,23.18461538,SA
6/1/2009,24.42307692,SA
7/1/2009,23.34615385,SA
8/1/2009,20.93076923,SA
9/1/2009,21.39230769,SA
10/1/2009,21.9,SA
11/1/2009,21.93076923,SA
12/1/2009,24.91538462,SA
13/1/2009,30.34615385,SA
14/1/2009,25.9,SA
15/1/2009,22.89230769,SA
16/1/2009,22.04615385,SA
17/1/2009,22.26153846,SA
18/1/2009,24.825,SA
19/1/2009,27.00833333,SA
20/1/2009,26.69166667,SA
21/1/2009,24.00769231,SA
22/1/2009,25.325,SA
23/1/2009,23.87692308,SA
24/1/2009,23.69230769,SA
25/1/2009,23.5,SA
26/1/2009,26.08461538,SA
27/1/2009,30.63076923,SA
28/1/2009,33.85384615,SA
29/1/2009,34.55384615,SA
30/1/2009,31.76923077,SA
31/1/2009,31.03846154,SA
1/2/2009,30.42307692,SA
2/2/2009,30.14615385,SA
3/2/2009,29.62307692,SA
4/2/2009,29.06153846,SA
5/2/2009,28.55384615,SA
6/2/2009,30.76153846,SA
7/2/2009,30.75384615,SA
8/2/2009,24.53846154,SA
9/2/2009,21.33076923,SA
