date,mean temperature (degC),State
1/1/2008,19.48571429,TAS
2/1/2008,17.55714286,TAS
3/1/2008,16.74285714,TAS
4/1/2008,18.62857143,TAS
5/1/2008,22.34285714,TAS
6/1/2008,20.44285714,TAS
7/1/2008,16.94285714,TAS
8/1/2008,17.81428571,TAS
9/1/2008,17.75714286,TAS
10/1/2008,21.8,TAS
11/1/2008,22.35714286,TAS
12/1/2008,16.54285714,TAS
13/1/2008,15.57142857,TAS
14/1/2008,14.7,TAS
15/1/2008,15.82857143,TAS
16/1/2008,16.17142857,TAS
17/1/2008,15.31428571,TAS
18/1/2008,17.76666667,TAS
19/1/2008,18.7,TAS
20/1/2008,17.34285714,TAS
21/1/2008,12.42857143,TAS
22/1/2008,14.01428571,TAS
23/1/2008,15.32857143,TAS
24/1/2008,16.62857143,TAS
25/1/2008,17.64285714,TAS
26/1/2008,18.84285714,TAS
27/1/2008,19.5,TAS
28/1/2008,16.88571429,TAS
29/1/2008,17.94285714,TAS
30/1/2008,17.3,TAS
31/1/2008,15.9,TAS
1/2/2008,14.51428571,TAS
2/2/2008,17.02857143,TAS
3/2/2008,16.6,TAS
4/2/2008,18.78571429,TAS
5/2/2008,18.42857143,TAS
6/2/2008,19.02857143,TAS
7/2/2008,14.11428571,TAS
8/2/2008,12.45714286,TAS
9/2/2008,12.68571429,TAS
10/2/2008,14.04285714,TAS
11/2/2008,15.61428571,TAS
12/2/2008,15.71428571,TAS
13/2/2008,12.5,TAS
14/2/2008,15.65714286,TAS
15/2/2008,15.34285714,TAS
16/2/2008,17.1,TAS
17/2/2008,18.14285714,TAS
18/2/2008,19.54285714,TAS
19/2/2008,20.54285714,TAS
20/2/2008,16.85714286,TAS
21/2/2008,15.42857143,TAS
22/2/2008,15.58571429,TAS
23/2/2008,13.81428571,TAS
24/2/2008,11.57142857,TAS
25/2/2008,14.1,TAS
26/2/2008,14.52857143,TAS
27/2/2008,14.05714286,TAS
28/2/2008,11.35714286,TAS
29/2/2008,11.08571429,TAS
1/3/2008,12.71428571,TAS
2/3/2008,15.07142857,TAS
3/3/2008,15.65714286,TAS
4/3/2008,15.8,TAS
5/3/2008,14.22857143,TAS
6/3/2008,16.58571429,TAS
7/3/2008,15.75714286,TAS
8/3/2008,15.02857143,TAS
9/3/2008,18.08571429,TAS
10/3/2008,20.41428571,TAS
11/3/2008,15.74285714,TAS
12/3/2008,16.77142857,TAS
13/3/2008,17.91428571,TAS
14/3/2008,22.9,TAS
15/3/2008,16.22857143,TAS
16/3/2008,20.75714286,TAS
17/3/2008,21.62857143,TAS
18/3/2008,20.48571429,TAS
19/3/2008,14.02857143,TAS
20/3/2008,13.78571429,TAS
21/3/2008,10.57142857,TAS
22/3/2008,13.77142857,TAS
23/3/2008,15.54285714,TAS
24/3/2008,18.04285714,TAS
25/3/2008,19.04285714,TAS
26/3/2008,13.3,TAS
27/3/2008,9.8,TAS
28/3/2008,10.12857143,TAS
29/3/2008,10.92857143,TAS
30/3/2008,11.57142857,TAS
31/3/2008,10.57142857,TAS
1/4/2008,11.97142857,TAS
2/4/2008,14.95714286,TAS
3/4/2008,10.27142857,TAS
4/4/2008,12.87142857,TAS
5/4/2008,14.1,TAS
6/4/2008,11.47142857,TAS
7/4/2008,12.68571429,TAS
8/4/2008,13.71428571,TAS
9/4/2008,16.22857143,TAS
10/4/2008,13.77142857,TAS
11/4/2008,12.81428571,TAS
12/4/2008,14.78571429,TAS
13/4/2008,11.81428571,TAS
14/4/2008,12.37142857,TAS
15/4/2008,12.18571429,TAS
16/4/2008,13,TAS
17/4/2008,12.92857143,TAS
18/4/2008,11.81428571,TAS
19/4/2008,12.55714286,TAS
20/4/2008,12.44285714,TAS
21/4/2008,11.57142857,TAS
22/4/2008,12.44285714,TAS
23/4/2008,11.48571429,TAS
24/4/2008,13.67142857,TAS
25/4/2008,13.11428571,TAS
26/4/2008,12.65714286,TAS
27/4/2008,10.55714286,TAS
28/4/2008,7.728571429,TAS
29/4/2008,8.8,TAS
30/4/2008,8.985714286,TAS
1/5/2008,10.58571429,TAS
2/5/2008,11.85714286,TAS
3/5/2008,9.814285714,TAS
4/5/2008,12.14285714,TAS
5/5/2008,10.45714286,TAS
6/5/2008,11.24285714,TAS
7/5/2008,10.87142857,TAS
8/5/2008,12.15714286,TAS
9/5/2008,14.62857143,TAS
10/5/2008,13.2,TAS
11/5/2008,10.6,TAS
12/5/2008,10.42857143,TAS
13/5/2008,10.88571429,TAS
14/5/2008,12.7,TAS
15/5/2008,11.14285714,TAS
16/5/2008,12,TAS
17/5/2008,14.11428571,TAS
18/5/2008,10.68571429,TAS
19/5/2008,11.52857143,TAS
20/5/2008,10.14285714,TAS
21/5/2008,6.742857143,TAS
22/5/2008,5.842857143,TAS
23/5/2008,7.785714286,TAS
24/5/2008,8.528571429,TAS
25/5/2008,9.7,TAS
26/5/2008,9.785714286,TAS
27/5/2008,10.1,TAS
28/5/2008,11.02857143,TAS
29/5/2008,11.87142857,TAS
30/5/2008,12.95714286,TAS
31/5/2008,11.27142857,TAS
1/6/2008,9.185714286,TAS
2/6/2008,9.528571429,TAS
3/6/2008,9.514285714,TAS
4/6/2008,10.48571429,TAS
5/6/2008,11.07142857,TAS
6/6/2008,8.414285714,TAS
7/6/2008,8.614285714,TAS
8/6/2008,8.557142857,TAS
9/6/2008,9.042857143,TAS
10/6/2008,10.32857143,TAS
11/6/2008,11.5,TAS
12/6/2008,11.51666667,TAS
13/6/2008,8.571428571,TAS
14/6/2008,8.157142857,TAS
15/6/2008,8.3,TAS
16/6/2008,6.985714286,TAS
17/6/2008,7.628571429,TAS
18/6/2008,9.871428571,TAS
19/6/2008,10.92857143,TAS
20/6/2008,9.628571429,TAS
21/6/2008,8.542857143,TAS
22/6/2008,7.257142857,TAS
23/6/2008,8.085714286,TAS
24/6/2008,8.271428571,TAS
25/6/2008,10.01428571,TAS
26/6/2008,8.571428571,TAS
27/6/2008,9.428571429,TAS
28/6/2008,10.64285714,TAS
29/6/2008,12.01428571,TAS
30/6/2008,12.5,TAS
1/7/2008,7.8,TAS
2/7/2008,7.5,TAS
3/7/2008,7.728571429,TAS
4/7/2008,5.085714286,TAS
5/7/2008,5.314285714,TAS
6/7/2008,6.742857143,TAS
7/7/2008,9.371428571,TAS
8/7/2008,10.37142857,TAS
9/7/2008,7.914285714,TAS
10/7/2008,7.985714286,TAS
11/7/2008,6.542857143,TAS
12/7/2008,7.628571429,TAS
13/7/2008,9.071428571,TAS
14/7/2008,8.728571429,TAS
15/7/2008,7.957142857,TAS
16/7/2008,8.557142857,TAS
17/7/2008,8.214285714,TAS
18/7/2008,8.085714286,TAS
19/7/2008,6.685714286,TAS
20/7/2008,4.671428571,TAS
21/7/2008,5.357142857,TAS
22/7/2008,6.5,TAS
23/7/2008,7.071428571,TAS
24/7/2008,6.542857143,TAS
