date,mean temperature (degC),site number,site name,Latitude,Longitude,Locality,State
2008-01-01,37.6,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-02,37.3,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-03,38.2,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-04,38.5,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-05,39.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-06,37.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-07,35.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-08,34.9,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-09,34.3,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-10,34.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-11,33.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-12,34.6,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-13,34.5,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-14,36.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-15,35.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-16,36.7,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-17,37.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-18,33.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-19,33.7,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-20,34.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-21,32.7,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-22,31.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-23,32.7,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-24,34.3,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-25,32.3,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-26,32.7,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-27,34.9,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-28,35.4,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-29,34.5,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-30,35.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-01-31,34.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-01,33.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-02,32.5,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-03,30.2,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-04,33.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-05,28.7,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-06,26.3,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-07,24.6,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-08,26.6,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-09,26.5,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-10,27.9,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-11,28.5,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-12,30.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-13,30.3,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-14,31.5,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-15,33.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-16,33.3,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-17,34.2,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-18,33.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-19,28.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-20,25.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-21,28.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-22,24.6,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-23,24.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-24,27.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-25,29.4,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-26,30.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-27,31.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-28,30.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-02-29,31.4,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-03-01,31.3,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-03-02,30.7,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-03-03,32.7,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-03-04,33.9,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-03-05,32.5,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-03-06,34.6,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-03-07,32.7,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-03-08,29.7,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-03-09,30.9,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-03-10,32.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-03-11,32.3,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-03-12,32.3,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-03-13,30.9,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-03-14,29.0,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-03-15,29.9,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-03-16,30.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-03-17,31.1,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-03-18,29.8,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
2008-03-19,26.5,7045,Meekatharra,26.61 °S,118.54 °E,Meekatharra,WA
