state,sex,number
New South Wales,Male,3984166
New South Wales,Female,4087995
New South Wales,total,8072163
Victoria,Male,3200963
Victoria,Female,3302528
Victoria,total,6503491
Queensland,Male,2540404
Queensland,Female,2615736
Queensland,total,5156138
South Australia,Male,878592
South Australia,Female,902924
South Australia,total,1781516
Western Australia,Male,1322855
Western Australia,Female,1337171
Western Australia,,2660026
Tasmania,Male,273765
Tasmania,Female,283804
Tasmania,total,557571
Northern Territory,Male,117526
Northern Territory,Female,115075
Northern Territory,total,232605
Australian Capital Territory,Male,224361
Australian Capital Territory,Female,230140
Australian Capital Territory,total,454499
,,
,,
,,
