date,mean temperature (degC),State
1/1/2008,29.84,NT
2/1/2008,29.32,NT
3/1/2008,30.8,NT
4/1/2008,30.3,NT
5/1/2008,31.06,NT
6/1/2008,31.92,NT
7/1/2008,31.58,NT
8/1/2008,32.84,NT
9/1/2008,32.24,NT
10/1/2008,31.7,NT
11/1/2008,32.34,NT
12/1/2008,32.76,NT
13/1/2008,32.06,NT
14/1/2008,31.1,NT
15/1/2008,32.375,NT
16/1/2008,32.46,NT
17/1/2008,32.62,NT
18/1/2008,31.58,NT
19/1/2008,30.9,NT
20/1/2008,31.52,NT
21/1/2008,32.66,NT
22/1/2008,33.2,NT
23/1/2008,31.76,NT
24/1/2008,32.1,NT
25/1/2008,31.04,NT
26/1/2008,31.7,NT
27/1/2008,30.52,NT
28/1/2008,31.26,NT
29/1/2008,30.26,NT
30/1/2008,31.62,NT
31/1/2008,32.46,NT
1/2/2008,30.5,NT
2/2/2008,29.62,NT
3/2/2008,30.46,NT
4/2/2008,29.6,NT
5/2/2008,30.9,NT
6/2/2008,31.4,NT
7/2/2008,29.82,NT
8/2/2008,29.6,NT
9/2/2008,29.24,NT
10/2/2008,29.5,NT
11/2/2008,28.54,NT
12/2/2008,27.8,NT
13/2/2008,28.18,NT
14/2/2008,29.08,NT
15/2/2008,29.54,NT
16/2/2008,30.24,NT
17/2/2008,30.92,NT
18/2/2008,30.54,NT
19/2/2008,30.08,NT
20/2/2008,30.98,NT
21/2/2008,31.7,NT
22/2/2008,31,NT
23/2/2008,28.52,NT
24/2/2008,28.7,NT
25/2/2008,28.44,NT
26/2/2008,28.96,NT
27/2/2008,28.82,NT
28/2/2008,28.82,NT
29/2/2008,28.1,NT
1/3/2008,27.62,NT
2/3/2008,27.4,NT
3/3/2008,27.65,NT
4/3/2008,29.125,NT
5/3/2008,29.55,NT
6/3/2008,28.86,NT
7/3/2008,28.54,NT
8/3/2008,29.06,NT
9/3/2008,28.84,NT
10/3/2008,28.34,NT
11/3/2008,29.02,NT
12/3/2008,28.4,NT
13/3/2008,28.7,NT
14/3/2008,29.76,NT
15/3/2008,30.8,NT
16/3/2008,30.1,NT
17/3/2008,28.84,NT
18/3/2008,29.34,NT
19/3/2008,29.32,NT
20/3/2008,29.38,NT
21/3/2008,30.06,NT
22/3/2008,29.78,NT
23/3/2008,29.38,NT
24/3/2008,30.5,NT
25/3/2008,27.975,NT
26/3/2008,28.06,NT
27/3/2008,26.04,NT
