Year,Age group,Total Case Number,Population,Incidence Rate
2008,00-04,1353,1464779,92.36888295
2008,15-19,712,1421595,50.08458809
2008,20-24,605,1566793,38.61390752
2008,25-29,535,1664602,32.1398148
2008,30-34,480,1703847,28.17154357
2008,35-39,580,1561679,37.13951459
2008,40-44,432,1583257,27.28552598
2008,45-49,510,1581455,32.24878356
2008,05-09,722,1502646,48.04857565
2008,50-54,420,1523551,27.56717694
2008,55-59,455,1454332,31.2858412
2008,60-64,343,1299397,26.39685947
2008,65-69,255,1188999,21.44661181
2008,70-74,243,887716,27.37361949
2008,75-79,206,652657,31.56328669
2008,80-84,193,460549,41.90650723
2008,85+,192,486842,39.43784636
2008,10-14,692,1397183,49.5282293
2009,00-04,5667,1464779,386.8843013
2009,15-19,7106,1421595,499.8610715
2009,20-24,5784,1566793,369.1617208
2009,25-29,5132,1664602,308.3019244
2009,30-34,3587,1703847,210.5235975
2009,35-39,3449,1561679,220.8520445
2009,40-44,2903,1583257,183.3562081
2009,45-49,2806,1581455,177.4315425
2009,05-09,6654,1502646,442.8188675
2009,50-54,2629,1523551,172.5574004
2009,55-59,1726,1454332,118.6799163
2009,60-64,1072,1299397,82.49980568
2009,65-69,627,1188999,52.73343375
2009,70-74,473,887716,53.28280666
2009,75-79,368,652657,56.38490049
2009,80-84,254,460549,55.15156911
2009,85+,234,486842,48.06487526
2009,10-14,7236,1397183,517.8992301
2010,00-04,1599,1464779,109.1632253
2010,15-19,1013,1421595,71.25798839
2010,20-24,1020,1566793,65.10113333
2010,25-29,1159,1664602,69.626253
2010,30-34,954,1703847,55.99094285
2010,35-39,902,1561679,57.75834855
2010,40-44,842,1583257,53.18151128
2010,45-49,775,1581455,49.00550442
2010,05-09,1314,1502646,87.4457457
2010,50-54,744,1523551,48.83328487
2010,55-59,589,1454332,40.49969333
2010,60-64,430,1299397,33.0922728
2010,65-69,294,1188999,24.72668186
2010,70-74,238,887716,26.81037629
2010,75-79,178,652657,27.27313122
2010,80-84,157,460549,34.08974941
2010,85+,100,486842,20.54054498
2010,10-14,1043,1397183,74.65020688
2011,00-04,3729,1464779,254.577653
2011,15-19,1706,1421595,120.0060495
2011,20-24,1723,1566793,109.9698556
2011,25-29,2059,1664602,123.6932312
2011,30-34,1927,1703847,113.0970093
2011,35-39,1845,1561679,118.1420766
2011,40-44,1593,1583257,100.615377
2011,45-49,1311,1581455,82.89834361
2011,05-09,3136,1502646,208.6985225
2011,50-54,1239,1523551,81.32317198
2011,55-59,1042,1454332,71.64801435
2011,60-64,975,1299397,75.03480461
2011,65-69,688,1188999,57.86379972
2011,70-74,623,887716,70.18010265
2011,75-79,473,652657,72.47298351
2011,80-84,426,460549,92.49830094
2011,85+,395,486842,81.13515268
2011,10-14,2036,1397183,145.7217845
2012,00-04,6577,1464779,449.0097141
2012,15-19,2267,1421595,159.4687657
2012,20-24,2101,1566793,134.0955697
2012,25-29,2515,1664602,151.0871668
2012,30-34,2800,1703847,164.3340042
2012,35-39,2947,1561679,188.7071543
2012,40-44,2587,1583257,163.3973512
2012,45-49,2023,1581455,127.9201748
2012,05-09,5052,1502646,336.206931
2012,50-54,1841,1523551,120.8361256
2012,55-59,1758,1454332,120.8802392
2012,60-64,1776,1299397,136.6787825
2012,65-69,1528,1188999,128.5114622
2012,70-74,1324,887716,149.1467992
2012,75-79,1367,652657,209.4515189
2012,80-84,1186,460549,257.5187439
2012,85+,1592,486842,327.0054761
2012,10-14,2603,1397183,186.3034406
2013,00-04,3183,1464779,217.3024053
2013,15-19,1146,1421595,80.61367689
2013,20-24,1041,1566793,66.44145079
2013,25-29,1356,1664602,81.46091378
2013,30-34,1942,1703847,113.97737
2013,35-39,2103,1561679,134.6627572
2013,40-44,2119,1583257,133.8380313
2013,45-49,1674,1581455,105.8518896
2013,05-09,3048,1502646,202.8421864
2013,50-54,1652,1523551,108.430896
2013,55-59,1647,1454332,113.2478691
2013,60-64,1350,1299397,103.8943448
2013,65-69,1093,1188999,91.92606554
2013,70-74,800,887716,90.1189119
2013,75-79,682,652657,104.4959297
2013,80-84,581,460549,126.153786
2013,85+,613,486842,125.9135407
2013,10-14,1646,1397183,117.8084761
2014,00-04,8280,1464779,565.2729866
2014,15-19,3255,1421595,228.968166
2014,20-24,2869,1566793,183.1128937
2014,25-29,3619,1664602,217.4093267
2014,30-34,4630,1703847,271.738014
2014,35-39,4750,1561679,304.1598177
2014,40-44,4740,1583257,299.3828545
2014,45-49,3960,1581455,250.4023194
2014,05-09,5463,1502646,363.5586825
2014,50-54,3679,1523551,241.4753428
2014,55-59,3671,1454332,252.4182924
2014,60-64,3250,1299397,250.1160154
2014,65-69,2710,1188999,227.9228157
2014,70-74,2034,887716,229.1273335
2014,75-79,2019,652657,309.3508535
